genus	abstract	link
Larkinella	Lar.ki.nel'la. N.L. dim. fem. n. Larkinella named in honor of the American microbiologist John M. Larkin, who described the family Spirosomaceae in co-authorship with Renée Borrall. Bacteroidetes / Cytophagia / Cytophagales / Cytophagaceae / Larkinella Ring-like and horseshoe-shaped cells 0.5–0.9 µm wide and with an outer diameter of 1.5–3.0 µm. Coils or helices are not formed. Motile by gliding. Nonsporeforming. Gram-stain-negative. Strictly aerobic. Produce non-diffusible pale-pink pigments. Flexirubin-type pigments are absent. Chemo-organotrophic. Oxidase-, catalase-, and alkaline phosphatase-positive. Acid is not produced from a large variety of carbohydrates, including cellobiose, fructose, galactose, glucose, and sucrose. Dominant cellular fatty acids are C15:0 iso, C16:1 ω5c, C17:0 iso 3-OH, and summed feature 3 (comprising C15:0 iso 2-OH, C16:1 ω7c, and/or C16:1 ω7t). The main isoprenoid quinone is MK-7. DNA G+C content (mol%): 53. Type species: Larkinella insperata Vancanneyt, Nedashkovskaya, Snauwaert, Mortier, Vandemeulebroecke, Hoste, Dawyndt, Frolova, Janssens and Swings 2006, 239VP.	http://onlinelibrary.wiley.com/doi/10.1002/9781118960608.gbm00268/abstract
Leadbetterella	Lead.bet.te.rel'la. N.L. dim. fem. n. Leadbetterella named in honor of Edward R. Leadbetter, who studied bacteria belonging to the CFB group. Bacteroidetes / Cytophagia / Cytophagales / Cytophagaceae / Leadbetterella Rods 0.6–0.9 × 2–7 µm. Nonmotile. No gliding motility. Strictly aerobic. Gram-stain-negative. Oxidase- and catalase-positive. Colonies are orange. Flexirubin-type pigments are present. Growth occurs in the presence of 1% NaCl but not 3%. Several carbohydrates are used as sole carbon sources. Esculin, gelatin, starch, and tyrosine are degraded. Major fatty acids are C16:1 ω7c/C15:0 iso 2-OH, C15:0 iso, C15:0 iso 2-OH/C16:1 ω7c, C17:0 iso 3-OH, and C16:0. The respiratory quinone is MK-7. Isolated from cotton-waste composts. DNA G+C content (mol%): 33. Type species: Leadbetterella byssophila Weon, Kim, Kwon, Park, Cha, Tindall, Stackebrandt, Trüper and Go 2005, 2299VP.	http://onlinelibrary.wiley.com/doi/10.1002/9781118960608.gbm00269/abstract
Meniscus	Me.nis'cus. N.L. masc. n. meniscus (from Gr. masc. n. mêniskos) crescent moon. Bacteroidetes / Cytophagia / Cytophagales / Cytophagaceae / Meniscus Curved or straight rods, 0.7–1.0 µm in diameter and 2.0–3.0 µm in length. Cultures may contain single cells, pairs, tightly coiled spirals, S shapes (two cells, one inverted), and doughnut-shaped cells, where the ends are overlapping before division by binary fission. “Rings” have outer diameters of about 3.0 µm. Single polar flagellum. Stains Gram-negative. Nonmotile. Resting stages not known. Encapsulated. Gas vacuoles arranged at random within cells. Colonies chalky white. Chemo-organotrophic; strictly fermentative metabolism with no gas production. Catalase-and oxidase-negative. Aerotolerantly anaerobic; capable of growth under an air atmosphere when at least 1% CO2 is present. Vitamin B12, thiamin and CO2 are required for growth. Optimum temperature, 30°C. No growth at 10 or 40°C. Isolated from anaerobic digester sludge. DNA G+C content (mol%): 44.9 (Bd). Type species: Meniscus glaucopis Irgens 1977, 42AL.	http://onlinelibrary.wiley.com/doi/10.1002/9781118960608.gbm00270/abstract
Microscilla	Mic.ro.scil'la. Gr. adj. micros small; L. n. oscillum swing; N.L. fem. n. Microscilla intended to mean small swinging organisms. Bacteroidetes / Cytophagia / Cytophagales / Cytophagaceae / Microscilla Long thin flexible threadlike rods usually 10–100 µm long or longer. Motile by gliding. Cell mass more or less intensely orange. Strictly aerobic and chemo-organotrophic. All grow on peptones as sole source of nitrogen. Chitin and cellulose are not attacked, but other polysaccharides including carboxymethyl cellulose may be decomposed. Marine organisms. No growth occurs in half-strength seawater. DNA G+C content (mol%): 37–44. Type species: Microscilla marina Pringsheim 1951, 140, emend. Lewin 1969, 201AL.	http://onlinelibrary.wiley.com/doi/10.1002/9781118960608.gbm00271/abstract
Pontibacter	Pon.ti.bac'ter L. masc. n. pontus the sea; N.L. masc. n. bacter from Gr. n. baktron rod, N.L. masc. n. Pontibacter a marine bacterium. Bacteroidetes / Cytophagia / Cytophagales / Cytophagaceae / Pontibacter Rods usually measuring 0.3–0.7 × 1.2–1.9 µm. Can move by gliding. Produce non-diffusible pink pigments. No flexirubin-type pigments are formed. Chemo-organotrophic. Strictly aerobic. Oxidase, catalase, alkaline phosphatase and β-galactosidase-positive. Esculin, gelatin, and DNA are hydrolyzed. Casein, Tween 80, chitin, and cellulose (CM-cellulose and filter paper) are not degraded, but agar, starch, and Tweens 20 and 40 may be decomposed. Carbohydrates are utilized. Can grow without seawater or sodium ions. Nitrate is not reduced to nitrite. Indole and H2S are not produced. The major respiratory quinone is MK-7. DNA G+C content (mol%): 48–52. Type species: Pontibacter actiniarum Nedashkovskaya, Kim, Suzuki, Shevchenko, Lee, Lee, Park, Frolova, Oh, Bae, Park and Mikhailov 2005c, 2585VP.	http://onlinelibrary.wiley.com/doi/10.1002/9781118960608.gbm00272/abstract
Runella	Ru.nel'la. M.E. n. rune an ancient alphabet; L. fem. dim. ending -ella; N.L. fem. n. Runella that which resembles figures of the runic alphabet. Bacteroidetes / Cytophagia / Cytophagales / Cytophagaceae / Runella Rigid straight to curved rods, the degree of curvature varying among cells within a culture. In one species (Runella slithyformis), the cells range from nearly straight to crescent-shaped, but the ends of a cell may overlap, producing a ring-like structure with an outside diameter of 2.0–3.0 µm; in addition, filaments up to 14 µm long may also be produced, and on rare occasions, a coil of two to three turns may be produced. In other species, the cells are either long and filamentous or straight to slightly bent rods instead of crescent-shaped or ring-like as found with Runella slithyformis. Gram-stain-negative. Nonmotile. Resting stages are not known. Aerobic. Runella slithyformis has a strictly respiratory metabolism with oxygen as the terminal electron acceptor and produces acid oxidatively from a few carbohydrates, whereas Runella zeae can ferment sugars. Optimum temperature, 20–35°C. Colonies contain a pale pink or salmon-colored water-insoluble pigment. Catalase is either positive or weakly positive. The oxidase reaction differs among species. Chemo-organotrophic. In those species so far tested, the major quinone is MK-7. Isolated from freshwater (Runella slithyformis), activated sludge (Runella limosa and Runella defluvii), and the stems of Zea mays (Runella zeae). DNA G+C content (mol%): 40–49. Type species: Runella slithyformis Larkin and Williams 1978, 35AL.	http://onlinelibrary.wiley.com/doi/10.1002/9781118960608.gbm00273/abstract
Spirosoma	Spi.ro.so'ma. Gr. n. spira coil; Gr. neut. n. soma body; N.L. neut. n. Spirosoma coiled body. Bacteroidetes / Cytophagia / Cytophagales / Cytophagaceae / Spirosoma Rigid straight to curved rods, the degree of curvature varying among individual cells within a culture. The cells measure 0.5–1.0 µm × 1.5–10.8 µm. Rings 1.5–3.0 μm in outer diameter are formed by overlapping of the ends of a cell in some species. Coils and helices may be present. Long sinuous filaments up to 50 µm long may be present. Gram-stain-negative. No swimming motility occurs. Gliding motility is present (Vancanneyt et al., 2006). Resting stages are not known. Obligate or facultative aerobes. Acids are produced aerobically from a variety of carbohydrates. Optimum temperature, 20–30°C. Colonies contain a pale to light yellow, water-insoluble carotenoid pigment. Catalase-positive and oxidase-negative or positive depending upon the species. Chemo-organotrophic. Isolated from soil and freshwater sources. DNA G+C content (mol%): 51–53 (T m). Type species: Spirosoma linguale (Eisenberg 1891) Migula 1894, 235AL.	http://onlinelibrary.wiley.com/doi/10.1002/9781118960608.gbm00274/abstract
Sporocytophaga	Spo.ro.cy.toph'a.ga. Gr. n. spora a seed, and in biology a spore; N.L. fem. n. Cytophaga genus name of a bacterium; N.L. fem. n. Sporocytophaga sporing Cytophaga. Bacteroidetes / Cytophagia / Cytophagales / Cytophagaceae / Sporocytophaga Flexible rods with rounded ends, 0.3–0.5 × 5–8 µm, occurring singly. Sphaeroplasts and distorted cells occur in older cultures. A resting stage, the microcyst, is formed. Motile by gliding. Stains Gram-negative. Chemo-organotrophs. Strict aerobe. Metabolism is respiratory, with molecular oxygen used as terminal electron acceptor. Cellobiose, cellulose, glucose and, for some strains, mannose are the only known sources of carbon and energy. Agar and chitin are not known to be metabolized. Either ammonium or nitrate ions, or peptone, urea or yeast extract, can serve as sole nitrogen source. Amino acids, peptones, yeast extract or nutrient agar (Difco) cannot serve as sole carbon and energy sources. No organic growth factor requirements are known. Catalase-positive. Temperature optimum: ~30°C. DNA G+C content (mol%): 36 (Bd). Type species: Sporocytophaga myxococcoides (Krzemieniewska 1933) Stanier 1940, 629AL.	http://onlinelibrary.wiley.com/doi/10.1002/9781118960608.gbm00275/abstract
Fabibacter	Fa.bi.bac'ter. L. fem. n. faba bean; N.L. masc. n. bacter rod; N.L. masc. n. Fabibacter bean(-like) rod. Copyright © 2015 John Wiley & Sons, Ltd. Bacteroidetes / Cytophagia / Cytophagales / Flammeovirgaceae / Fabibacter Curved rods 0.5 × 1.5 µm. Gram-stain-negative. Strictly aerobic. Gliding motility is present. Chemo-organotrophic. Colonies on marine agar are pink. The major respiratory quinone is MK-7. Flexirubin-type pigments are not produced. Acid is produced from carbohydrates. Oxidase- and catalase-positive. Tween 80 is hydrolyzed but not gelatin. NaCl is not required for growth. Isolated from the marine sponge Tedania ignis. DNA G+C content (mol%): 42.5. Type species: Fabibacter halotolerans Lau, Tsoi, Li, Plakhotnikova, Dobretsov, Wu, Wong, Pawlik and Qian 2006, 1062VP.	http://onlinelibrary.wiley.com/doi/10.1002/9781118960608.gbm00276/abstract
Flammeovirga	Flam.me.o.vir'ga. L. adj. flammeus fire-colored; L. fem. n. virga rod; N.L. fem. n. Flammeovirga fire-colored rod. Bacteroidetes / Cytophagia / Cytophagales / Flammeovirgaceae / Flammeovirga Rods 0.4–0.9 µm wide and 1.7–96 µm long or longer. Motile by gliding. Nonsporeforming. Gram-stain-negative. Aerobic, having a strictly respiratory type of metabolism with oxygen as the terminal electron acceptor. Chemo-organotrophic. Colonies spread and produce large gelase fields and deep craters in agar plates. Cell mass is orange to reddish orange. Saproxanthin is present as the major carotenoid pigment. Flexirubin-type pigments are absent. Oxidase and catalase activities differ among species. Marine organisms. Seawater is required for growth; NaCl alone can substitute. The optimum pH for growth is 7. Nitrate is reduced. Agar, alginic acid, esculin, and starch are degraded. The major respiratory quinone is MK-7. Predominant cellular fatty acids are C15:0 iso, C20:4 ω6,9,12,15c, and C16:0 3-OH. DNA G+C content (mol%): 31–36. Type species: Flammeovirga aprica (Reichenbach 1989b) Nakagawa, Hamana, Sakane and Yamasato 1997, 221VP emend. Takahashi, Suzuki and Nakagawa 2006, 2099VP [Cytophaga aprica (ex Lewin 1969) Reichenbach 1989c, 495VP; Cytophaga diffluens var. aprica Lewin 1969, 197].	http://onlinelibrary.wiley.com/doi/10.1002/9781118960608.gbm00277/abstract
Flexithrix	Flex'i.thrix. L. part. adj. flexus flexible; Gr. fem. n. thrix hair; N.L. fem. n. Flexithrix flexible hair (flexible rod). Bacteroidetes / Cytophagia / Cytophagales / Flammeovirgaceae / Flexithrix Rods 0.4–0.9 µm wide and 1.5–70 µm long or longer. Motile by gliding. Nonsporeforming. Sheath is present or not. Gram-stain-negative. Aerobic. Chemo-organotrophic. The cell mass is golden yellow to yellow. Zeaxanthin is present as the major carotenoid pigment. Flexirubin-type pigments are absent. Oxidase- and catalase-positive. Urease activity is negative or weakly positive. Marine organisms. Seawater is required for growth; NaCl alone can substitute. The optimum pH for growth is 7. Nitrate is not reduced. H2S and indole are not produced. Esculin, gelatin, starch, and Tween 80 are degraded. The major respiratory quinone is MK-7. Predominant cellular fatty acids are C15:0 iso and C16:1 ω5c. DNA G+C content (mol%): 35–37. Type species: Flexithrix dorotheae Lewin 1970, 511AL emend. Hosoya and Yokota 2007b, 1087VP emend.	http://onlinelibrary.wiley.com/doi/10.1002/9781118960608.gbm00278/abstract
Persicobacter	Per.si.co.bac'ter. Gr. neut. n. persikon peach; N.L. masc. n. bacter rod; N.L. masc. n. Persicobacter peach rod, because the organism is a peach-colored rod. Bacteroidetes / Cytophagia / Cytophagales / Flammeovirgaceae / Persicobacter Slender rods 0.4–0.6 µm wide and 0.9–30 µm long or longer. Motile by gliding. Nonsporeforming. Gram-stain-negative. Facultatively anaerobic. Chemo-organotrophic. Colonies spread and produce large gelase fields and deep craters in agar plates. The cell mass is pink to orange. Saproxanthin is present as the major carotenoid pigment. Flexirubin-type pigments are absent. Oxidase- and urease-negative. Strongly or weakly catalase-positive. Marine organisms. Seawater is required for growth; NaCl alone can substitute. The optimum pH for growth is 7. Nitrate is reduced. H2S and indole are not produced. Agar, alginic acid, esculin, and gelatin are degraded. Starch is weakly degraded. The major respiratory quinone is MK-7. Predominant cellular fatty acids are C15:0 iso and C17:0 iso 3-OH. DNA G+C content (mol%): 42–44. Type species: Persicobacter diffluens (Reichenbach 1989b) Nakagawa, Hamana, Sakane, Yamasato 1997, 222VP [Cytophaga diffluens (ex Stanier 1940) Reichenbach 1989c, 495VP; Cytophaga diffluens Stanier 1940, 623 emend. mut. char. Lewin 1969, 197].	http://onlinelibrary.wiley.com/doi/10.1002/9781118960608.gbm00279/abstract
Reichenbachiella	Rei.chen.bach.i.el'la. N.L. fem. dim. n. Reichenbachiella named after Hans Reichenbach, a German microbiologist who has made a great contribution to the taxonomy of bacteria belonging to the phylum Bacteroidetes. Bacteroidetes / Cytophagia / Cytophagales / Flammeovirgaceae / Reichenbachiella Thin rods 0.5–0.7 × 5–15 µm. Motile by gliding. Produce non-diffusible, orange, flexirubin pigments. Chemo-organotrophs. Strictly aerobic. Oxidase-, catalase-, and alkaline phosphatase-positive. Agar, alginate, gelatin, casein, starch, urea, DNA, and Tween 20 are hydrolyzed, but casein, chitin, cellulose (CM-cellulose and filter paper), and Tweens 40, 60, and 80 are not hydrolyzed. The major respiratory quinone is MK-7. Marine, isolated from coastal habitats in temperate latitudes. Growth does not occur without seawater or sodium ions. DNA G+C content (mol%): 44–45. Type species: Reichenbachiella agariperforans (Nedashkovskaya, Suzuki, Vysotskii and Mikhailov 2003) Nedashkovskaya, Kim, Suzuki, Shevchenko, Lee, Lee, Park, Frolova, Oh, Bae, Park and Mikhailov 2005c, 2587VP (Reichenbachia agariperforans Nedashkovskaya, Suzuki, Vysotskii and Mikhailov 2003, 83).	http://onlinelibrary.wiley.com/doi/10.1002/9781118960608.gbm00280/abstract
Roseivirga	Ro.se.i.vir'ga. L. adj. roseus pink-colored; L. fem. n. virga rod; N.L. fem. n. Roseivirga a pink-colored and rod-shaped marine bacterium. Bacteroidetes / Cytophagia / Cytophagales / Flammeovirgaceae / Roseivirga Thin rods usually measuring 0.2–0.5 × 2.0–4.0 µm. Gliding motility can be observed. Produce nondiffusible pink-orange pigments. Flexirubin type of pigments can be formed. Chemoorganotrophs. Strictly aerobic. Can require seawater or sodium ions for growth. Oxidase-, catalase-, and alkaline phosphatase-positive. Arginine dihydrolase, lysine, and ornithine decarboxylases, and tryptophan deaminase are absent. Agar, casein, starch, urea, cellulose (CM-cellulose and filter paper), and chitin are not attacked, but gelatin, DNA, and Tweens may be decomposed. H2S and indole are not produced. The major respiratory quinone is MK-7. Marine, from coastal habitats. DNA G+C content (mol%): 40–45. Type species: Roseivirga ehrenbergii Nedashkovskaya, Kim, Lee, Lysenko, Shevchenko, Frolova, Mikhailov, Lee and Bae 2005a, 233VP.	http://onlinelibrary.wiley.com/doi/10.1002/9781118960608.gbm00281/abstract
Rhodothermus	Rho.do.ther'mus. Gr. n. rhodon rose; Gr. masc. adj. thermos hot; N.L. masc. n. Rhodothermus the red thermophile. Bacteroidetes / Cytophagia / Incertae sedis II / Rhodothermaceae / Rhodothermus Straight rods about 0.5 × 2.0–2.5 µm, with curved ends. Occur singly, never in chains or filaments. Nonmotile. Gram-stain-negative. A slime capsule is formed on carbohydrate-rich medium. Most strains form red colonies, due to a carotenoid pigment. Colonies are low convex, 3–4 mm in diameter with an entire edge. Aerobic. Thermophilic, growing at 54–77°C. Neutrophilic. Heterotrophic. Growth is strictly salt-dependent, occurring in the range of 0.6 to >6% NaCl. Catalase-positive. The oxidase reaction varies among strains. No dissimilatory nitrate reduction occurs. Growth occurs on most common sugars. The major cellular fatty acids are C15 iso, C15 anteiso, C17 iso and C17 anteiso. The major quinone is menaquinone 7. The habitat is submarine freshwater alkaline hot springs, marine hot springs, geothermal sites, and borehole effluents. DNA G+C content (mol%): 64–66 (T m). Type species: Rhodothermus marinus Alfredsson, Kristjansson, Hjörleifsdottir and Stetter 1995, 418VP (Effective publication: Alfredsson, Kristjansson, Hjörleifsdottir and Stetter 1988, 304; Rhodothermus obamensis Sako, Takai, Ishida, Uchida and Katayama 1996, 1103.).	http://onlinelibrary.wiley.com/doi/10.1002/9781118960608.gbm00282/abstract
Salinibacter	Sa.li.ni.bac'ter. L. fem. pl. n. salinae salterns, salt-works; N.L. masc. n. bacter masc. equivalent of the Gr. neut. n. baktron a rod; N.L. masc. n. Salinibacter a rod from salt-works. Bacteroidetes / Cytophagia / Incertae sedis II / Rhodothermaceae / Salinibacter Rod-shaped, often slightly curved. Gram-stain-negative. Motile by means of flagella. Obligately aerobic. Catalase- and oxidase-positive. Nitrate is not reduced. Extremely halophilic, requiring at least 15% NaCl (w/v) to grow; optimum, 20–30%. Chemoheterotrophic. Grows best at low substrate concentrations; high levels of organic compounds may be inhibitory. Amino acids are the preferred substrates for growth. Salinibacter strains form a deep branch of the phylum Bacteroidetes of the domain Bacteria. Colonies are bright red/orange-pigmented. Among the most salt-tolerant and salt-requiring strains within the bacterial domain. DNA G+C content (mol%): 66.3–67.7 (HPLC). Type species: Salinibacter ruber Antón, Oren, Benlloch, Rodríguez-Valera, Amann and Rosselló-Mora 2002, 490VP.	http://onlinelibrary.wiley.com/doi/10.1002/9781118960608.gbm00283/abstract
Thermonema	Ther.mo.ne'ma. Gr. adj. thermos hot; Gr. neut. n. nema a thread; N.L. neut. n. Thermonema a thermophilic thread. Bacteroidetes / Cytophagia / Incertae sedis III / Incertae sedis / Thermonema Apparently unicellular filaments ∼0.7 μm in diameter and ∼ 60 to several hundred μm long. Motile by gliding. Gram-stain-negative. Aerobic. Optimum temperature, ∼60°C; poor or no growth occurs at 70°C. Colonies are orange (Schofield et al., 1987) or yellow (Tenreiro et al., 1997), depending on the medium. Cells possess acetone-extractable pigments with an absorbance peak at 450 nm. Flexirubin-type pigments are not produced. Oxidase- and catalase-positive. Aminopeptidase-positive. Casein, gelatin, and hippurate are hydrolyzed but not starch, xylan, or cellulose. Growth occurs on vitamin-free Casamino acids and on a mixture of the 20 natural amino acids, but not on single amino acids. Growth does not occur on pentoses, hexoses, N-acetylglucosamine, disaccharides, polyols, or organic acids. Na+ may not be required; but if required, only low concentrations are needed. Menaquinone 7 is the major respiratory quinone. Sphingolipids are present. DNA G+C content (mol%): 47–51. Type species: Thermonema lapsum Hudson, Schofield, Morgan and Daniel 1989, 487VP.	http://onlinelibrary.wiley.com/doi/10.1002/9781118960608.gbm00284/abstract
Toxothrix	To.xo'thrix. Gr. n. toxon a bow; Gr. fem. n. thrix a thread; N.L. fem. n. Toxothrix bent thread. Bacteroidetes / Cytophagia / Incertae sedis IV / Incertae sedis / Toxothrix Cells cylindrical, colorless, 0.5–0.75×3–6 µm, in filaments (trichomes) up to 400 µm long. A dense body (polyphosphate?) is often located at either end of the cell (Figure 1). Gram reaction not recorded. Filaments often U-shaped (Figure 1a and b) and rotating while slowly moving forward with the rounded part in the lead; a mucoid substance, excreted from several sites on the trailing ends, is deposited as a double track (“railroad track”) of twisted strings each 0.2 µm wide (Figure 1). Fan-shaped structures may be deposited laterally along the tracks, as the arms of the U move from side to side, and between the tracks, as a result of the middle section being lifted and then touched down again (Figure 1; Krul et al., 1970). Oxidized iron may be deposited on the mucoid threads, rendering them yellowish brown and brittle and giving them a diameter of 2.5 µm. Pure cultures have not been obtained, but chemoorganothrophic and psychrophilic cultures have been maintained for long periods at 5 and 10°C. Filaments are extremely fragile during laboratory examination, and explosive disintegration of filaments has been observed after short periods under the microscope. Grow attached to surfaces and develop best at reduced oxygen tensions (Hässelbarth and Lüdemann, 1967) and slightly below neutrality (pH 5.1–7.7). Originally found in water reservoir near the Biological Station at the Dnjepr River in the U.S.S.R. Widely distributed in cold iron springs, brooks, forest ponds, and lakes containing ferrous iron and with reduced oxygen tension (Hirsch, 1981). DNA G+C content (mol%): not known. Type species: Toxothrix trichogenes (Cholodny 1924) Beger in Beger and Bringmann 1953, 332AL.	http://onlinelibrary.wiley.com/doi/10.1002/9781118960608.gbm00285/abstract
Blattabacterium	Blat.ta.bac.te'ri.um. L. fem. n. blatta an insect that shuns the light, the cockroach, chafer, moth, etc.; L. neut. n. bacterium rod; N.L. neut. n. Blattabacterium, an endosymbiotic bacterium harbored by cockroaches and one termite species. Bacteroidetes / Flavobacteriia / Flavobacteriales / Blattabacteriaceae / Blattabacterium Blattabacterium are present only as intracellular symbionts (endosymbionts) in almost all species of cockroaches (Blattaria: Dictyoptera) studied so far and one species of termite, Mastotermes darwiniensis (Mastotermitidae: Isoptera). Lo, Bandi, Watanabe, Nalepa and Beninati (2007) reported that they could not detect the presence of Blattabacterium in members of the cockroach genus Nocticola. Plump, slightly curved and straight rods, about 1 µm in diameter and 1.6–9.0 µm in length, usually with rounded ends. Length slightly variable among cockroach species. Within a cockroach species, longer forms occur inside specialized cells of abdominal fat body called mycetocytes; shorter forms occur in gonads and embryos. Binary fission pairs are common in mycetocytes. Enveloped by host cell membranes. Gram-stain-variable to Gram-stain-positive staining but has a Gram-negative type cell-wall structure composed of peptidoglycan surrounded by an outer membrane. Nonmotile. Nonflagellated. Possesses enzymes of the tricarboxylic acid cycle and respiratory cytochromes. DNA G+C content (mol%): 26–28 (Bd). Type species: Blattabacterium cuenoti (Mercier 1906) Hollande and Favre 1931, 754AL (Bacillus cuenoti Mercier 1906, 684).	http://onlinelibrary.wiley.com/doi/10.1002/9781118960608.gbm00286/abstract
Brumimicrobium	Bru'mi.mi.cro'bi.um. L. fem. n. bruma winter; N.L. neut. n. microbium microbe; N.L. neut. n. Brumimicrobium winter microbe. Bacteroidetes / Flavobacteriia / Flavobacteriales / Cryomorphaceae / Brumimicrobium Cells are slender, flexible rods with rounded ends, 1–3 µm×0.3–0.5 µm, occurring singly or in pairs. Gram-stain-negative. Spores, resting cells, and gas vesicles are not present. Gliding motility is present. Colonies are orange. Flexirubin pigments are not produced. Facultatively anaerobic. Possesses an oxidative metabolism under aerobic conditions. Under anaerobic growth conditions the metabolism shifts to the fermentation of sugars. Catalase-positive. Oxidase-negative. Chemoheterotrophic. Non-agarolytic. Utilizes D-glucose. Reduces nitrate to nitrite. Strains require Na +and yeast extract for growth. Peptone can serve as a nitrogen source. Psychroactive. Slightly halophilic. Major fatty acids are C13:0 iso, C15:0 iso, and C15:1 anteiso ω10c. Isolated from polar marine sediment and sea-ice algal assemblages. DNA G+C content (mol%): 38–40. Type species: Brumimicrobium glaciale Bowman, Nichols and Gibson 2003, 1352VP.	http://onlinelibrary.wiley.com/doi/10.1002/9781118960608.gbm00287/abstract
Crocinitomix	Cro.cin.i.to'mix L. adj. crocinus of or pertaining to saffron; L. fem. n. tomix a string or thread; N.L. fem. n. Crocinitomix saffron-colored thread (filament). Bacteroidetes / Flavobacteriia / Flavobacteriales / Cryomorphaceae / Crocinitomix Cells are short rods with rounded ends or filaments, 0.3–0.5×0.5→20 µm. Occur singly or in pairs. Gram-stain-negative. Spores, resting cells, and gas vesicles not present. Gliding motility is present. Colonies are yellow. Flexirubin pigments are not produced. Strictly aerobic, having an oxidative type of metabolism. Catalase-positive. Oxidase-negative. Chemoheterotrophic. Non-agarolytic. Carbohydrates are not utilized. Acid is not formed from carbohydrates. Strains require Na +and yeast extract for growth. Growth occurs between 0 and 30°C, with optimal growth yield at 20–22°C and pH 6–8. Major fatty acids are C15:0, C15:0 iso, C15:1 iso ω10c, C15:1 ω11c, and C16:1 ω12c. Isolated from beneath frozen sand of the marine upper littoral zone (Subarctic Alaska). DNA G+C content (mol%): 35. Type species: Crocinitomix catalasitica (Lewin 1969) Bowman, Nichols and Gibson 2003, 1353VP (Microscilla aggregans subsp. catalatica Lewin 1969, 197).	http://onlinelibrary.wiley.com/doi/10.1002/9781118960608.gbm00288/abstract
Cryomorpha	Cry.o.mor'pha. Gr. neut. n. kryos icy cold, frost; Gr. fem. n. morphe shape or form; N.L. fem. n. Cryomorpha cold shape. Bacteroidetes / Flavobacteriia / Flavobacteriales / Cryomorphaceae / Cryomorpha Cells are slender, flexible rods with rounded ends, 0.3–0.5 µm×0.5–3 µm. Occur singly or in pairs. Gram-stain-negative. Spores, resting cells, and gas vesicles not present. Nonmotile. Colonies are orange. Flexirubin pigments are not produced. Strictly aerobic with an oxidative type of metabolism. Catalase positive. Oxidase negative. Chemoheterotrophic. Non-agarolytic. The organisms have an inert metabolism in that they do not utilize carbohydrates, do not form acid from carbohydrates, and are unreactive in most standard biochemical tests. Strains require sea water salts and yeast extract for growth. Growth occurs between −2 and 22°C, with optimal growth at 15–20°C and pH 6–8. Major fatty acids are C14:0 iso, C15:0 iso, C15:0 anteiso, C16:0 iso, C14:1 iso ω9c, C15:1 iso ω10c, C15:1 anteiso ω10c, C14:0 iso 2-OH, and C15:0 anteiso 2-OH. Isolated from quartz stone sublithic communities and Southern Ocean sea water particulates. DNA G+C content (mol%): 36–37. Type species: Cryomorpha ignava Bowman, Nichols and Gibson 2003, 1352VP.	http://onlinelibrary.wiley.com/doi/10.1002/9781118960608.gbm00289/abstract
Fluviicola	Flu.vi.i.co'la L. masc. n. fluvius -ii river; L. suff. -cola (from L. masc. or fem. n. incola) inhabitant, dweller; N.L. masc. n. Fluviicola river dweller. Bacteroidetes / Flavobacteriia / Flavobacteriales / Cryomorphaceae / Fluviicola Rods 0.4–0.5×1.5–5.7 μm, with rarer longer filaments of up to 51 μm in length. Nonflagellated. Motile by gliding. Gram-stain-negative. Strictly aerobic. Cell mass is pigmented yellow-orange. Flexirubins are synthesized. Temperature range for growth, 4–25°C; optimum, ~20°C. Catalase-positive. Oxidase-negative. Growth does not occur in the presence of Na +ions. Negative for nitrate and nitrite reduction. Glucose is not utilized for growth. Fatty acids contain a high proportion of branched-chain fatty acids (mainly C15:0 iso and C15:1 iso ω10c), as well as significant amounts of hydroxy fatty acids (mainly C17:0 iso 3-OH). Isolated from freshwater environments. DNA G+C content (mol%): 37.2. Type species: Fluviicola taffensis O'Sullivan, Rinna, Humphreys, Weightman and Fry 2005, 2193VP.	http://onlinelibrary.wiley.com/doi/10.1002/9781118960608.gbm00290/abstract
Lishizhenia	Li.shi.zhe'ni.a N.L. fem. n. Lishizhenia named after Li Shizhen (1518–1593), the famous Chinese naturalist. Bacteroidetes / Flavobacteriia / Flavobacteriales / Cryomorphaceae / Lishizhenia Rods 0.3–0.5 × 0.5–3.8 µm. Nonflagellated. Cells are motile by gliding. Nonsporeforming. Gram-stain-negative. Halophilic, growing between 1.0 and 7.5% (w/v) NaCl with optimum growth at 1–3%. Organic growth factors such as yeast extract or peptone are required for growth. Colonies are light orange. Strict aerobes. Oxidase-positive. Catalase- and alkaline phosphatase-positive. Casein and gelatin are hydrolyzed. Carbohydrates are not utilized. Major respiratory quinone is MK-6. Predominant fatty acids are C15:0 iso, C15:1 iso, C17:0 iso 3-OH, and C15:0 iso 2-OH/C16:1 ω7c. DNA G+C content (mol%): 35.8. Type species: Lishizhenia caseinilytica Lau, Ren, Wai, Qian, Wong and Wu 2006, 2321VP.	http://onlinelibrary.wiley.com/doi/10.1002/9781118960608.gbm00291/abstract
